ticker,sector,GICS Sub-Industry,stock_name
MMM,Industrials,Industrial Conglomerates,3M
AOS,Industrials,Building Products,A. O. Smith
ABT,Health Care,Health Care Equipment,Abbott Laboratories
ABBV,Health Care,Biotechnology,AbbVie
ACN,Information Technology,IT Consulting & Other Services,Accenture
ADBE,Information Technology,Application Software,Adobe Inc.
AMD,Information Technology,Semiconductors,Advanced Micro Devices
AES,Utilities,Independent Power Producers & Energy Traders,AES Corporation
AFL,Financials,Life & Health Insurance,Aflac
A,Health Care,Life Sciences Tools & Services,Agilent Technologies
APD,Materials,Industrial Gases,Air Products
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Airbnb
AKAM,Information Technology,Internet Services & Infrastructure,Akamai Technologies
ALB,Materials,Specialty Chemicals,Albemarle Corporation
ARE,Real Estate,Office REITs,Alexandria Real Estate Equities
ALGN,Health Care,Health Care Supplies,Align Technology
ALLE,Industrials,Building Products,Allegion
LNT,Utilities,Electric Utilities,Alliant Energy
ALL,Financials,Property & Casualty Insurance,Allstate
GOOGL,Communication Services,Interactive Media & Services,Alphabet Inc. (Class A)
GOOG,Communication Services,Interactive Media & Services,Alphabet Inc. (Class C)
MO,Consumer Staples,Tobacco,Altria
AMZN,Consumer Discretionary,Broadline Retail,Amazon
AMCR,Materials,Paper & Plastic Packaging Products & Materials,Amcor
AEE,Utilities,Multi-Utilities,Ameren
AEP,Utilities,Electric Utilities,American Electric Power
AXP,Financials,Consumer Finance,American Express
AIG,Financials,Multi-line Insurance,American International Group
AMT,Real Estate,Telecom Tower REITs,American Tower
AWK,Utilities,Water Utilities,American Water Works
AMP,Financials,Asset Management & Custody Banks,Ameriprise Financial
AME,Industrials,Electrical Components & Equipment,Ametek
AMGN,Health Care,Biotechnology,Amgen
APH,Information Technology,Electronic Components,Amphenol
ADI,Information Technology,Semiconductors,Analog Devices
AON,Financials,Insurance Brokers,Aon plc
APA,Energy,Oil & Gas Exploration & Production,APA Corporation
APO,Financials,Asset Management & Custody Banks,Apollo Global Management
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",Apple Inc.
AMAT,Information Technology,Semiconductor Materials & Equipment,Applied Materials
APP,Information Technology,Application Software,AppLovin
APTV,Consumer Discretionary,Automotive Parts & Equipment,Aptiv
ACGL,Financials,Property & Casualty Insurance,Arch Capital Group
ADM,Consumer Staples,Agricultural Products & Services,Archer Daniels Midland
ARES,Financials,Asset Management & Custody Banks,Ares Management
ANET,Information Technology,Communications Equipment,Arista Networks
AJG,Financials,Insurance Brokers,Arthur J. Gallagher & Co.
AIZ,Financials,Multi-line Insurance,Assurant
T,Communication Services,Integrated Telecommunication Services,AT&T
ATO,Utilities,Gas Utilities,Atmos Energy
ADSK,Information Technology,Application Software,Autodesk
ADP,Industrials,Human Resource & Employment Services,Automatic Data Processing
AZO,Consumer Discretionary,Automotive Retail,AutoZone
AVB,Real Estate,Multi-Family Residential REITs,AvalonBay Communities
AVY,Materials,Paper & Plastic Packaging Products & Materials,Avery Dennison
AXON,Industrials,Aerospace & Defense,Axon Enterprise
BKR,Energy,Oil & Gas Equipment & Services,Baker Hughes
BALL,Materials,"Metal, Glass & Plastic Containers",Ball Corporation
BAC,Financials,Diversified Banks,Bank of America
